rank,name,comments,author,publisher
270,余秋雨 文化苦旅（1-9年级必读书单）,341436,余秋雨 著 时代华语 出品,长江文艺出版社
271,少年读西游记（套装全3册）,50905,张嘉骅,青岛出版社
272,清单人生（霍思燕推荐。巴克曼继《外婆的道歉信》新作。人生有一...,33845,[瑞典]弗雷德里克·巴克曼，译者 孙璐，果麦文化 出品,天津人民出版社
273,漫画万物由来（中国童书榜zui佳童书奖，桂冠童书奖，当当原创科普...,65589,郭翔 著，张荣梅 策划，小当当童书馆 出品,辽宁少年儿童出版社
274,囚徒健身2：用古老的智慧成就再无弱点的不败身躯,13975,(美) 保罗·威德著,北京科学技术出版社
275,人性的弱点大全集（人性的弱点+人性的优点）（薛之谦推荐。20世纪...,52587,戴尔·卡耐基，果麦文化 出品,天津人民出版社
276,睡眠革命：如何让你的睡眠更高效,16205,[英]尼克·利特尔黑尔斯,北京联合出版公司
277,《读者》六年典藏精选·美文彩插系列2（共四册）,5352,读者杂志社编,时代文艺出版社
278,自控力（2017年纪念新版）,442043,（美）凯利?麦格尼格尔 著，磨铁图书 出品,文化发展出版社
279,可爱的鼠小弟（1-22）,89140,[日] 中江嘉男 文  [日]上野纪子 图,南海出版公司
280,当下的力量（珍藏版）,92072,(德)埃克哈特.托利,中信出版社
281,掌控情绪，从来都不靠忍（别让情绪掌控你的人生）,67648,剑圣喵大师,长江文艺出版社
282,三毛流浪记（彩图注音读物）,291764,张乐平   著,少年儿童出版社
283,做一个刚刚好的女子：不攀附，不将就,261253,"晚情 著,  悦读纪 出品",青岛出版社
284,DK幼儿百科全书——那些重要的事,63585,英国DK公司,中国大百科全书出版社
285,傲慢与偏见（孙致礼先生的译本，幽默&唯美，豆瓣评分9.1分）,77042,［英］奥斯丁 著 孙致礼 译,西安交通大学出版社
286,习近平谈治国理政 第二卷 中文版平装本（100册以上团购请联系团购...,38334,习近平,外文出版社
287,《3～6岁孩子的正面管教》,85658,[美] 简·尼尔森 谢丽尔·欧文 罗丝琳·安·达菲  著    娟子 译,北京联合出版公司
288,老人与海（新版！未删节插图珍藏版，《暗算》作者、茅奖得主麦家...,96677,海明威 著，鲁羊 译，大星文化 出品，作家榜经典文库，Slava Shults 绘,浙江文艺出版社
289,小小小小的火 （《无声告白》作者伍绮诗重磅新作）,334744,（美）伍绮诗(Celeste Ng) 著；孙璐 译；读客文化 出品,江苏凤凰文艺出版社
290,心理学与生活（第16版，中文版）,188809,(美)理查德.格里格,人民邮电出版社
291,《0～3岁孩子的正面管教》,77001,(美) 简·尼尔森，谢丽尔·欧文，罗丝琳·安·达菲 著，花莹莹 译,北京联合出版公司
292,稻盛和夫阿米巴经营经典套装（理论+实践）（当当独家定制套装）（...,4706,（日）稻盛和夫，京瓷通信系统株式会社（KCCS） 著,中国大百科全书出版社
293,安房直子幻想小说系列（共6册）,78800,[日]安房直子 著；彭懿 译,少年儿童出版社
294,"孩子你慢慢来：龙应台""人生三书""之一（彩插新版）",235141,龙应台 著，理想国 出品,广西师范大学出版社
295,马云：未来已来,37830,阿里巴巴集团 著，博集天卷 出品,红旗出版社
296,所有失去的都会以另一种方式归来（随书附赠限量珍藏版明信片×精...,182257,耿帅,九州出版社
297,有故事的汉字 第1辑（当当独家订制版，全3册）,113564,邱昭瑜,青岛出版社
298,三体（刘慈欣代表作，亚洲首部雨果奖获奖作品！）,73366,刘慈欣,重庆出版社
299,郑渊洁四大名传（全4册）,135840,郑渊洁　著,浙江少年儿童出版社
300,你看起来好像很好吃（恐龙简装套装全7册）,123874,宫西达也 文/图，杨文 晓晗 译,２１世纪出版社
301,多莱尔的希腊神话书（畅销千万册，纽约公共图书馆“百年百佳书”...,84395,英格丽 多莱尔 爱德加·帕林·多莱尔,江苏教育出版社
302,且以优雅过一生：杨绛传（杨绛传记的标杆之作）,127487,桑妮 著，博集天卷 出品,湖南文艺出版社
303,歪歪兔行为习惯系列互动图画书（全10册，赠完整版动画片DVD）,151158,歪歪兔关键期早教项目组　编绘,海豚出版社
304,河边的错误 （《活着》余华畅销30年ZUI佳中篇小说集）,16648,余华,时代文艺出版社
305,你就是孩子最好的玩具,82158,（美）金伯莉·布雷恩  著，夏欣茁 译,南方出版社
306,少有人走的路(全4册) 全新整理版,71523,斯科特·派克,中华工商联合出版社
307,后来时间都与你有关（韩寒 何炅 谢娜 吴昕 戚薇 阚清子等明星推荐...,190498,张皓宸，果麦文化 出品,天津人民出版社
308,沉默的大多数（又名《一只特立独行的猪》）,66395,王小波,北京联合出版公司
309,未来简史+人类简史（新版套装2册）   一本好书 腾讯视频栏目推荐,162746,［以色列］尤瓦尔·赫拉利  著；林俊宏 译,中信出版社
310,德国精选科学图画书 （肚子里有个火车站+牙齿大街的新鲜事，套装...,229311,〔德〕安娜·鲁斯曼,北京科学技术出版社
311,纳尼亚传奇(全辑共7册),94748,（英）刘易斯　著，陈良廷　等译,译林出版社
312,小熊很忙中英双语厚纸板游戏书：参观恐龙园+欢乐农场日+城堡小骑...,8886,[英] 本吉·戴维斯  著,中信出版社
313,沟通心理学,9293,刘艳华 著,天津科学技术出版社
314,捕捉儿童敏感期（珍藏版）：了解孩子内心的早教经典，解除育儿焦...,170106,孙瑞雪,中国妇女出版社
315,手不是用来打人的（儿童好品德系列，全5册）,104669,（美）伊丽莎白·弗迪克等著 陈薇薇、刘宣谷译 步印童书 出品,贵州教育出版社
316,昆虫记（文前33张共8页高清彩色照片图+系统分类目录+昆虫谱系表+...,48136,[法]让-亨利·法布尔  著    陈筱卿  译,时代文艺出版社
317,无所畏（2018年冯唐全新作品，一部坦露自我的真诚之作）,40701,冯唐 著，磨铁图书 出品,北京联合出版有限公司
318,经典译林：简爱（央视《朗读者》选读版本，翻译家黄源深译本！九...,62759,夏洛蒂?勃朗特,译林出版社
319,思考，快与慢,135795,(美)丹尼尔卡尼曼,中信出版社
320,你和我的倾城时光（赵丽颖、金瀚、周一围等主演同名电视剧正在热...,52450,丁墨 著，白马时光 出品,百花洲文艺出版社
321,中国近代史,122785,蒋廷黻  著   凤凰含章出品,武汉出版社
322,乡土中国（精装）,78781,费孝通,人民出版社
323,家常菜精选1288例：现代人（中餐厅店长赵薇也在看的菜谱书。畅销...,144835,本书编写组,中国轻工业出版社
324,超值畅销-好妈妈不娇不惯培养女孩300个细节,28834,静涛，李厚泽　编著,南海出版公司
325,暖暖心绘本（全四辑19本）,184814,（伊朗）米拦弗特毕　文，（德）沃琪顿　绘，漪然　译,湖南少儿出版社
326,半小时漫画世界史（其实是一本严谨的极简世界史。）,163833,陈磊（笔名：二混子） 著；读客文化 出品,江苏凤凰文艺出版社
327,洛伦茨的经典科普系列一：《所罗门王的指环》（诺贝尔生物或医学...,32962,康拉德·洛伦茨,中信出版社
328,你好！数学套装珍藏版（套装30本）,58546,申惠恩　等文，赵美子　等图，仇艳　等译,湖北少儿出版社
329,父与子全集,79702,[德]卜劳恩（图）,北方妇女儿童出版社
330,让孩子爱上科学的趣味实验大百科,101351,[日]学研教育出版　编，林岚，林榕　译,浙江少年儿童出版社
331,古汉语常用字字典（第5版）,165117,原编者  王力 岑麒祥 林焘 等，修订者 蒋绍愚 唐作藩 张万起 等,商务印书馆
332,给孩子读诗（畅销100万册纪念，全新升级AR版，扫码免费收听。闫妮...,293897,果麦 著，余光中、丰子恺、高行健、闻家泗、刘星灿等 译，果麦文化 出品,浙江文艺出版社
333,习近平用典.第二辑 团购电话010-57993380,63724,人民日报评论部,人民日报出版社
334,我的专注力训练游戏（全3册）,58142,[日]efuca.伊藤由香 著  胡静 译,化学工业出版社
335,诗经（上下册精装）（中华经典名著全本全注全译）,122149,王秀梅　译注,中华书局
336,雪国,232098,(日)川端康成 著，新经典 出品,南海出版公司
337,论语别裁（独家授权简体版套装两册）,28120,南怀瑾,东方出版社
338,可爱的鼠小弟（1-12）,223054,[日] 中江嘉男 文  [日]上野纪子 图,南海出版公司
339,唐诗三百首 小学生 成长必读 绘本 注音版,89808,思睿 编著,北方妇女儿童出版社
340,不用说，孩子就会听——歪歪兔逆反期教育系列图画书（全8册）,158172,歪歪兔关键期早教项目组　编绘,海豚出版社
341,红岩（七年级下册必读）,256252,罗广斌，杨益言,中国青年出版社
342,橘子不是唯一的水果,32393,（英）珍妮特·温特森,北京联合出版有限公司
343,青蛙弗洛格的成长故事（全三辑，共26册）,134967,（荷兰）马克斯·维尔修思　著,湖南少年儿童出版社
344,北欧众神（北欧神话是奇幻文化的重要起源！）,24636,（英）尼尔·盖曼（Neil Gaiman） 著；胡婧 译；读客文化 出品,江苏凤凰文艺出版社
345,观山海（“百鬼画师”杉泽绝美诠释山海经）,46786,"杉泽 著,博集天卷 出品",湖南文艺出版社
346,昆虫记 八年级上 人教版名著阅读课程化丛书 教育部统编教材推荐必...,16768,（法）亨利.法布尔 著，陈筱卿 译,人民教育出版社
347,亲爱的安德烈（插图第2版）,148936,龙应台 著，理想国 出品,广西师范大学出版社
348,少有人走的路：心智成熟的旅程 （白金升级版）,216851,斯科特·派克,中华工商联合出版社
349,中国哲学简史,129992,冯友兰,北京大学出版社
350,墨多多谜境冒险（4-5共2册） 隐匿的巫女面具（上 下）,4827,雷欧幻像,二十一世纪出版社
351,理想国,108311,柏拉图,中国华侨出版社
352,囚徒健身：用失传的技艺练就强大的生存实力（美国畅销健身书，留...,55563,(美)威德,北京科学技术出版社
353,三毛全集05：梦里花落知多少,42628,三毛 著，新经典 出品,北京十月文艺出版社
354,水浒传（上下册）（全两册）——中国古典文学读本丛书（九年级上...,75705,（明）施耐庵 著,人民文学出版社
355,数学原来可以这样学（畅销日本300万册，小学生家长必备。让孩子爱...,51454,野口哲典 著，博集天卷 出品,湖南人民出版社
356,了不起的盖茨比（未删节完整版！精装插图珍藏本！荣获美国“艾奥...,33619,菲茨杰拉德 著，董继平 译，大星文化 出品，作家榜经典文库，Henry P. Raleigh 绘,浙江文艺出版社
357,美丽新世界（译文名著精选）,19387,（英）奥尔德斯 ·赫胥黎 著，陈超 译,上海译文出版社
358,半小时漫画中国史（修订版）（其实是一本严谨的极简中国史。团购...,470104,陈磊（二混子） 著；读客文化 出品,江苏文艺出版社
359,俗世奇人（全二册）,123727,冯骥才,作家出版社
360,100层的房子【新版】（纵开式畅销绘本3册套装， 100层的房子+地下...,91018,[日]岩井俊雄,北京科学技术出版社
361,细菌世界历险记（中小学语文新课标必读名著 ）菌儿自传 高士其科...,33353,高士其,人民邮电出版社
362,米小圈上学记一年级--四年级（套装共16册）,108272,北猫,四川少儿出版社
363,好妈妈胜过好老师2：自由的孩子最自觉,193757,尹建莉 著；读客文化 出品,文汇出版社
364,阶梯数学·4岁 （共5册）,92773,（韩）朱慧兰  著，王宁  译,北京科学技术出版社
365,挪威的森林（精装，村上春树影响几代读者的畅销青春名作，特有的...,138022,村上春树,上海译文出版社
366,习近平谈治国理政 第一卷 中文版平装（最新修订版）团购电话010-...,92486,习近平,外文出版社
367,郑渊洁给孙女的好习惯书：十二生肖童话绘本,140752,郑渊洁 著,天津人民出版社
368,走遍中国 图说天下 国家地理,113621,《图说天下·国家地理系列》编委会,北京联合出版公司
369,万历十五年 一本好书 腾讯视频栏目推荐（增订纪念本）,38111,黄仁宇 著,中华书局
370,"我不喜欢这世界,我只喜欢你",260704,乔一　著,湖南少年儿童出版社
371,夏日终曲（第90届奥斯卡获奖电影《请以你的名字呼唤我》原著小说...,38364,安德烈·艾席蒙,外语教学与研究出版社
372,气场——改变全球1600万人命运的强大蝴蝶效应，比尔·盖茨、奥巴...,157031,（美）菲尔  著，章岩  译,重庆出版社
373,【2019日历】-凡是过去，皆为序曲：2019小林漫画日历,1412,林帝浣,上海文艺出版社
374,斯坦福极简经济学（当当全国独家精装升级版）,34793,[美]泰勒 著，博集天卷 出品,湖南人民出版社
375,论语译注（简体字本）  2017修订新版,172689,杨伯峻 译注,中华书局
376,习近平新时代中国特色社会主义思想三十讲（标准版）    团购电话...,7071,本书编写组,学习出版社
377,习近平用典 第一辑     团购电话：010-57993380,61870,人民日报评论部,人民日报出版社
378,自卑与超越（白岩松推荐，超越自卑完整全译本）,27738,阿尔弗雷德阿德勒著，杨颖 译，果麦文化 出品,浙江文艺出版社
379,林格伦儿童文学作品集·典藏版——长袜子皮皮,106567,（瑞典）林格伦  著，李之义  译,中国少年儿童出版社
380,罗尔德·达尔作品典藏 查理和巧克力工厂,173656,罗尔德·达尔,明天出版社
381,"一百个人的十年-""文革""已经过去，它对众多人的生活产生了深刻的影...",72233,冯骥才,文化艺术出版社
382,汪曾祺散文集：人间世相,5686,汪曾祺,时代文艺出版社
383,《我的神奇马桶》亲子阅读绘本,23842,（日） 铃木典丈  文图，彭懿 译,贵州人民出版社
384,猜猜我是谁系列套装（全4册）,161352,（美）尼娜兰登　　著，张芳　译,北京联合出版公司
385,时间的历史（写给孩子的身边事物简史丛书之一，歪歪兔童书馆出品...,1230,歪歪兔童书馆,海豚出版社
386,习近平讲故事(团购更优惠 电话：010-57993380）,35084,人民日报评论部,人民出版社
387,为你自己读书,103984,肖卫 编著,中国华侨
388,沟通的艺术（插图修订第15版）,108160,[美]罗纳德·B·阿德勒（Ronald B. Adler） 拉塞尔·F·普罗科特（Russell F. Proctor II），译者： 黄素菲等   后浪出品,北京联合出版有限公司
389,我的儿子皮卡系列 礼盒装（共10册） 曹文轩作品,14185,曹文轩　编著,二十一世纪出版社
390,写给儿童的成语故事（全10册）,74504,百鹤文化 著 步印童书 出品,贵州教育出版社
391,小学生好习惯系列-我的时间管理习惯没问题！,10080,[韩] 崔先圭 著；[韩] 孙明子 绘；秦晓静 译,现代出版社
392,长安十二时辰（上下册）,55277,马伯庸,湖南文艺出版社
393,意林合订本2018年07期-12期（总第57卷）（升级版）,8747,意林杂志社,吉林摄影出版社
394,皮皮鲁和鲁西西流星系列（包含驯兔记等共9册）,32243,郑渊洁,浙江少年儿童出版社
395,月亮和六便士（又译作月亮与六便士，导读详注完整无删版，高晓松...,66792,[英]毛姆 著，李继宏 译，果麦文化 出品,天津人民出版社
396,小读客·石头剪刀布传奇：给孩子的正向竞争观启蒙书——开心第一...,3693,(美) 德鲁·戴沃特 (Drew Daywalt)、(美) 亚当·雷克斯 (Adam Rex)著；余治莹 译；读客文化 出品,文汇出版社
397,活了100万次的猫（珍藏版）,233410,（日）佐野洋子 著,接力出版社
398,信谊世界精选图画书·爷爷一定有办法,278591,[加] 菲比·吉尔曼 著；宋珮 译,明天出版社
399,见识城邦·娱乐至死,63737,（美）波兹曼　著，章艳　译,中信出版社
400,向前一步(珍藏版),86437,Sheryl Sandberg,中信出版社
401,寻找时间的人（与《追风筝的人》《偷书贼》共同荣获美国年度最佳...,184999,作者 凯特·汤普森、译者 闫雪莲；酷威文化 出品,江苏文艺出版社
402,柳林风声,113071,作者:[英]肯尼斯格雷厄姆著；[英]大卫罗伯茨绘；杨静远译,贵州人民出版社
403,呼啸山庄,66240,（英）艾米莉·勃朗特　著，宋兆霖　译,作家出版社
404,写给儿童的世界历史（全16册）,109537,陈卫平著、步印童书 出品,贵州教育出版社
405,经典译林：麦田里的守望者（精装）,79994,J.D. 塞林格 著，施咸荣 译,译林出版社
406,从0到1：开启商业与未来的秘密,210941,（美）蒂尔，（美）马斯特斯　著，高玉芳　译,中信出版社
407,从小爱科学·有趣的物理（全16册）,93478,译者： 沈丹丹、柳恋清 等,湖南少年儿童出版社
408,第一次自己睡觉,33991,文：（日）季巳明代 著  图：（日）长谷川香子 绘,北京联合出版公司
409,情商是什么（杨澜、吴晓波联袂推荐。所谓情商高，绝不仅仅是会说...,90796,李筱懿，果麦文化 出品,浙江文艺出版社
410,别输在不会表达上,59934,李劲 著,古吴轩出版社
411,字的童话（全7册）,80776,林世仁　编文，章毓倩　绘,贵州人民出版社
412,西尔斯亲密育儿百科（最新修订版）,129528,〔美〕威廉西尔斯　等著，邵燕美　译，新经典 出品,南海出版公司
413,月亮的味道（精装） ,156232,麦克格雷涅茨 著,二十一世纪出版社
414,现当代长篇小说经典系列：边城,59186,沈从文　著,长江文艺出版社
415,窝在角落好安心系列（全三册套装）,2474,【日】横沟百合 著，日本监修San-X编，米粒、毛德龙 译,接力出版社
416,我是猫（人类一思考，猫君就发笑。日本“国民大师”夏目漱石笔下...,82260,[日]夏目漱石 著，曹曼 译，果麦文化 出品,浙江文艺出版社
417,大卫，不可以,174639,文/图：〔美〕大卫·香农David Shannon,河北教育出版社
418,培生英语·阅读街：幼儿版K1(幼儿园小班适用)——美国幼儿园语言...,39212,美国培生教育出版集团,中国宇航出版社
419,东野圭吾四大推理套装（共4册）,6370,东野圭吾 著，新经典 出品,南海出版公司
420,不许抠鼻子！,22491,文/图：〔英〕托尼?罗斯,北京联合出版公司
421,好想去这样那样的国家（全6册）,14653,【日】东菜奈  著 叶硕 严利颖  译,贵州人民出版社
422,非暴力沟通[珍藏版]（当我们褪去隐蔽的精神暴力，爱将自然流露。...,32694,(美)马歇尔·卢森堡著，阮胤华 译,华夏出版社
423,西尔斯怀孕百科（全新升级版）,104805,〔美〕威廉·西尔斯　等著，荀寿温　译，新经典 出品,南海出版公司
424,张爱玲全集04：半生缘（2012年全新修订版）,66886,张爱玲,北京十月文艺出版社
425,曹文轩文集-草房子,250100,曹文轩,天天出版社有限责任公司
426,《如何培养孩子的社会能力》 ,88823,[美] 默娜·B.舒尔博士，[美] 特里萨·弗伊·迪吉若尼莫 著；张雪兰 译,北京联合出版有限公司
427,"爱的教育（原版插图本）（语文新课标课外阅读书目,国家教育部推荐...",7743,埃迪蒙托·德·亚米契斯著，麦书房出品，有容书邦 发行,江苏文艺出版社
428,双城记（著名翻译家宋兆霖神级全译本）,80242,"[英] 查尔斯·狄更斯 著, 宋兆霖 译",作家出版社
429,灵魂有香气的女子（200万册畅销升级版！新增20%从未发表美人故事...,165346,李筱懿，果麦文化 出品,上海文艺出版社
430,世说新语(精)上下册--中华经典名著全本全注全译丛书(第三辑),77991,朱碧莲，沈海波　译注,中华书局
431,菊与刀（畅销全球70年，销售逾3000万册，亲切易懂的日本国民性格...,31348,（美）鲁思·本尼迪克特，果麦文化 出品,浙江文艺出版社
432,人生最美是清欢（林清玄经典散文集，执笔45周年白金纪念版！）,94534,林清玄 著，新经典 出品,北京十月文艺出版社
433,我的妈妈是精灵(百万纪念版，全新修订，入选小学生基础阅读书目）...,128143,陈丹燕,福建少年儿童出版社
434,尼罗河上的惨案：阿加莎·克里斯蒂作品集11（阿加莎·克里斯蒂经...,45121,(英)阿加莎.克里斯蒂,新星出版社
435,大中华寻宝系列2 北京寻宝记,18528,孙家裕,二十一世纪出版社
436,雾都孤儿（著名翻译家黄水乞教授全译本，讲述黑暗中闪现的人性光...,59790,"[英] 查尔斯·狄更斯 著, 黄水乞 译",作家出版社
437,幻夜（《白夜行》姊妹篇，东野圭吾“绝望之书”第二弹）,165624,(日)东野圭吾 著，新经典 出品,南海出版公司
438,成语大词典（彩色本）最新修订版 60000多名读者热评！团购电话01...,121688,<成语大词典>编委会,商务印书馆国际有限公司
439,定位系列·定位（重译版）,38032,[美]艾?里斯（Al Ries）杰克?特劳特（Jack Trout）,机械工业出版社
440,知行合一王阳明大全集（1+2+3+传习录，套装共4册）,83696,度阴山 著；读客文化 出品,北京时代华文书局
441,给孩子的诗,69351,北岛,中信出版社
442,枪炮、病菌与钢铁——人类社会的命运(修订版）,74066,（美）贾雷德.戴蒙德 著，谢延光 译,上海译文出版社
443,给孩子的身体书（给5—15岁孩子的第一本生理“教科书”）,13986,（美）霍华德·本内特  博士 著，磨铁图书 出品,北京联合出版有限公司
444,小鸡球球成长绘本系列：全6册（新版）,267819,[日]入山智 著；海豚传媒，心喜阅童书 出品；,长江少年儿童出版社
445,金庸作品集(朗声旧版)金庸全集(05－08)－射雕英雄传(全四册)（1-...,56695,金庸   著,广州出版社
446,最怕你一生碌碌无为，还安慰自己平凡可贵,73125,老杨的猫头鹰,现代出版社
447,花婆婆,190499,〔美〕芭芭拉库尼,河北教育出版社
448,孤独六讲,68321,蒋勋 著 时代华语 出品,长江文艺出版社
449,大卫不可以+大卫上学去+大卫惹麻烦+圣诞节到了（大卫系列全4册）,30208,〔美〕大卫·香农David Shannon 文/图,北京联合出版公司
450,受益一生的墨菲定律,5213,墨羽◎著,中国商业出版社
451,森林的奇妙旅行,2316,彼得·渥雷本 著，紫图出品,北京联合出版有限公司
452,100层的巴士 麦克米伦世纪,81292,麦克?史密斯,二十一世纪出版社
453,大中华寻宝系列6 四川寻宝记,12074,孙家裕,二十一世纪出版社
454,丝绸之路：一部全新的世界史（关心一带一路，必读丝绸之路）,131864,[英]彼得·弗兰科潘 (Peter Frankopan)  著；邵旭东，孙芳 译；徐文堪 审校；读客文化 出品,浙江大学出版社
455,张爱玲经典小说集(倾城之恋/红玫瑰与白玫瑰/怨女/半生缘/小团圆全...,58102,张爱玲　著，新经典 出品,北京十月文艺出版社
456,兄弟（新版）,48500,余华,作家出版社
457,房思琪的初恋乐园,70184,林奕含 著，磨铁图书 出品,北京联合出版有限公司
458,我们仨（当当网独家布面精装珍藏版）,35803,杨绛,生活.读书.新知三联书店
459,最美的法布尔昆虫记（1-12）,66503,"（法）法布尔 原著,（日）小林清之介 著,（日）松冈达英，泷波明生，内藤贞夫　等绘",新星出版社
